Series Title,Year Released,Content Rating,IMDB Rating,R Rating,Genre,No of Seasons,Streaming Platform
The Jinx: The Life and Deaths of Robert Durst,2015,16+,8.7,81,"Documentary, Crime",1,Multiple Streaming Platforms
Grace and Frankie,2015,7+,8.3,81,"Comedy, LGBTQ",6,Netflix
Young Justice,2010,7+,8.6,81,"Action & Adventure, Animation",3,DC Universe
The Fosters,2013,16+,7.9,81,"Drama, Family",5,Multiple Streaming Platforms
RuPaul's Drag Race,2009,16+,8.5,81,"Reality, LGBTQ",12,Multiple Streaming Platforms
Hanna,2019,18+,7.5,81,"Thriller, Action & Adventure",2,Prime Video
Monty Python's Flying Circus,1969,16+,8.8,81,"Comedy, 1969",5,Netflix
Entourage,2004,16+,8.4,81,"Comedy, Drama",8,Multiple Streaming Platforms
Harley Quinn,2019,18+,8.5,81,"Animation, Action & Adventure",2,Multiple Streaming Platforms
12 Monkeys,2015,16+,7.7,81,"Science-Fiction, Action & Adventure",4,Hulu
Alias,2001,16+,7.6,81,"Action & Adventure, Drama",5,Prime Video
The Owl House,2020,7+,7.6,81,"Comedy, Animation",1,Multiple Streaming Platforms
13 Reasons Why,2017,18+,7.7,81,"Drama, Mystery",4,Netflix
Resurrection: Ertugrul,2014,16+,7.8,81,"Action & Adventure, Drama",5,Netflix
Nathan For You,2013,16+,8.8,81,"Comedy, Documentary",4,Multiple Streaming Platforms
Dirk Gently's Holistic Detective Agency,2016,16+,8.3,81,"Comedy, Science-Fiction",2,Hulu
A Series of Unfortunate Events,2017,7+,7.8,81,"Action & Adventure, Drama",3,Netflix
Star Trek: Deep Space Nine,1993,7+,7.9,81,"Action & Adventure, Drama",7,Multiple Streaming Platforms
Angel,1999,7+,7.9,81,"Action & Adventure, Comedy",5,Hulu
Santa Clarita Diet,2017,18+,7.8,81,"Comedy, Horror",3,Netflix
The Kominsky Method,2018,18+,8.2,80,"Comedy, Drama",2,Netflix
Unbreakable Kimmy Schmidt,2015,16+,7.6,80,"Comedy, Drama",4,Netflix
The Good Doctor,2017,16+,8.2,80,"Drama, 2017",3,Multiple Streaming Platforms
Into the Badlands,2015,16+,8,80,"Drama, Action & Adventure",3,Netflix
Manhunt,2017,16+,8.1,80,"Crime, Drama",2,Multiple Streaming Platforms
Borgen,2010,18+,8.5,80,"Drama, 2010",3,Multiple Streaming Platforms
Food Wars! Shokugeki no Soma,2015,18+,8.2,80,"Animation, Anime",5,Multiple Streaming Platforms
Eastbound & Down,2009,18+,8.2,80,"Comedy, Drama",4,Multiple Streaming Platforms
The Thick of It,2005,18+,8.7,80,"Comedy, 2005",4,Multiple Streaming Platforms
I Am Not Okay with This,2020,18+,7.6,80,"Action & Adventure, Comedy",1,Netflix
Defending Jacob,2020,18+,8,80,"Crime, Drama",1,Apple TV+
DC's Legends of Tomorrow,2016,16+,6.8,80,"Action & Adventure, Science-Fiction",5,Multiple Streaming Platforms
The Venture Bros.,2004,18+,8.5,80,"Comedy, Action & Adventure",7,Multiple Streaming Platforms
Father Ted,1995,16+,8.6,80,"Comedy, 1995",3,Multiple Streaming Platforms
Undone,2019,18+,8.2,80,"Animation, Comedy",1,Prime Video
American Gods,2017,18+,7.8,80,"Drama, Fantasy",2,Starz
Blue Bloods,2010,16+,7.6,80,"Crime, Drama",10,Multiple Streaming Platforms
Alias Grace,2017,18+,7.8,80,"Biography, Crime",1,Netflix
Years and Years,2019,18+,8.4,80,"Drama, LGBTQ",1,Multiple Streaming Platforms
9-1-1,2018,16+,7.7,80,"Drama, Action & Adventure",3,Multiple Streaming Platforms
Terminator: The Sarah Connor Chronicles,2008,16+,7.6,80,"Action & Adventure, Drama",2,Free Services
Leverage,2008,16+,7.9,80,"Action & Adventure, Crime",5,Multiple Streaming Platforms
The Tudors,2007,18+,8.1,80,"Action & Adventure, Drama",4,Multiple Streaming Platforms
Godless,2017,16+,8.3,80,"Drama, Documentary",1,Netflix
The Knick,2014,18+,8.5,80,"Drama, 2014",2,Cinemax
Gossip Girl,2007,16+,7.4,80,"Drama, Romance",6,Netflix
Nikita,2010,16+,7.7,80,"Action & Adventure, Crime",4,Free Services
Fauda,2015,16+,8.2,80,"Thriller, Action & Adventure",3,Netflix
Marvel's Luke Cage,2016,18+,7.3,80,"Drama, Action & Adventure",2,Netflix
That '70s Show,1998,16+,8.1,80,"Comedy, Romance",8,Multiple Streaming Platforms
Longmire,2012,16+,8.3,80,"Drama, Action & Adventure",6,Netflix
Carnival Row,2019,18+,7.9,80,"Fantasy, Horror",1,Prime Video
